Species ,Common name ,Sex,Age Class,Unit type,Unit code,Unit no. ,Deployment date,Recovery date,Deployment location,Recovery location,Deployment latitude,Deployment longitude,Mass at deployment (g),Mass at recovery ,Culman length,Culman width,Culman height,Tarsus length,Wing length,Comments,Principal investigator
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,68,10/10/2012,,Whalebone Point,,-43.44016,147.23374,550,,30,8,10.5,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,72,10/10/2012,,Whalebone Point,,-43.44022,147.23373,505,,29.4,7.4,9,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,50,10/10/2012,,Whalebone Point,,-43.44021,147.23365,580,,28,7,9.1,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,95,10/10/2012,,Whalebone Point,,-43.44027,147.23365,640,,30,6.8,9.4,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,27,10/10/2012,,Whalebone Point,,-43.44017,147.23356,620,,28.8,6.6,8.5,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,80,10/10/2012,,Whalebone Point,,-43.44011,147.23357,560,,30.5,7.4,9.4,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,93,18/10/2012,,Whalebone Point,,-43.44017,147.23371,545,,31.13,6.98,8.08,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,56,18/10/2012,,Whalebone Point,,-43.44017,147.23365,585,,31.38,7.15,8.56,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,83,18/10/2012,,Whalebone Point,,-43.44014,147.2336,485,,29.45,6.48,8.31,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,1,18/10/2012,,Whalebone Point,,-43.44026,147.23357,545,,29.06,6.3,7.67,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,22,18/10/2012,,Whalebone Point,,-43.44027,147.23353,565,,22.6,7.7,8.5,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,40,18/10/2012,,Whalebone Point,,-43.44002,147.23363,615,,31.3,7.85,8.2,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,3,18/10/2012,,Whalebone Point,,-43.44031,147.23367,540,,32.25,6.6,6.7,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,70,18/10/2012,,Whalebone Point,,-43.44033,147.23383,610,,32,7.2,9.3,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,91,18/10/2012,,Whalebone Point,,-43.44048,147.23388,510,,30.6,7,7.3,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,43,17/10/2012,,Wedge Island,,-43.116667,147.666667,560,,32.25,6.22,8.64,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,18,17/10/2012,,Wedge Island,,-43.116667,147.666667,520,,30.15,7.12,8.9,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,46,17/10/2012,,Wedge Island,,-43.116667,147.666667,520,,29.51,6.84,7.81,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,15,17/10/2012,,Wedge Island,,-43.116667,147.666667,520,,29.79,8.39,8.87,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,36,17/10/2012,,Wedge Island,,-43.116667,147.666667,600,,31.28,7.63,8.62,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,9,17/10/2012,,Wedge Island,,-43.116667,147.666667,540,,32.43,6.91,9.01,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,100,18/10/2012,,Wedge Island,,-43.116667,147.666667,520,,29.76,7.08,8.41,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,33,18/10/2012,,Wedge Island,,-43.116667,147.666667,600,,30.57,6.15,9.23,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,59,18/10/2012,,Wedge Island,,-43.116667,147.666667,630,,30.1,6.66,9.91,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,64,18/10/2012,,Wedge Island,,-43.116667,147.666667,560,,29.8,6.78,8.38,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,88,18/10/2012,,Wedge Island,,-43.116667,147.666667,580,,33.69,6.47,8.03,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,54,18/10/2012,,Wedge Island,,-43.116667,147.666667,530,,32.31,6.86,8.54,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,76,18/10/2012,,Wedge Island,,-43.116667,147.666667,530,,30.68,6.83,9.37,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,77,18/10/2012,,Wedge Island,,-43.116667,147.666667,520,,31.03,7.13,7.99,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,24,18/10/2012,,Wedge Island,,-43.116667,147.666667,570,,28.53,7.32,8.56,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,86,12/01/2013,,Wedge Island,,-43.116667,147.666667,670,,31.2,7.4,8.7,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,79,13/01/2013,,Wedge Island,,-43.116667,147.666667,670,,31,6.7,8.3,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,35,14/01/2013,,Wedge Island,,-43.116667,147.666667,615,,32.3,7,8,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,30,14/01/2013,,Wedge Island,,-43.116667,147.666667,675,,33.8,7.6,8.9,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,12,14/01/2013,,Wedge Island,,-43.116667,147.666667,565,,32.6,6.9,8.1,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,38,15/01/2013,,Wedge Island,,-43.116667,147.666667,545,,32.5,7.5,9,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,28,15/01/2013,,Wedge Island,,-43.116667,147.666667,715,,31.8,7,8.6,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,96,16/01/2013,,Wedge Island,,-43.116667,147.666667,705,,30.6,7.5,8.9,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,98,16/01/2013,,Wedge Island,,-43.116667,147.666667,650,,33.2,7.5,8.3,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,65,16/01/2013,,Wedge Island,,-43.116667,147.666667,675,,32.31,8.54,6.86,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,66,17/01/2013,,Wedge Island,,-43.116667,147.666667,575,,31.3,7.4,8.9,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,85,17/01/2013,,Wedge Island,,-43.116667,147.666667,615,,31,7.5,9.7,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,29,30/03/2013,,Wedge Island,,-43.116667,147.666667,550,,30.49,5.35,7.54,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,94,30/03/2013,,Wedge Island,,-43.116667,147.666667,605,,32.85,5.83,8.26,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,82,31/03/2013,,Wedge Island,,-43.116667,147.666667,630,,78.12,6.13,7.89,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,84,4/04/2013,,Wedge Island,,-43.116667,147.666667,640,,30.3,5.37,7.21,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,92,4/04/2013,,Wedge Island,,-43.116667,147.666667,615,,30.58,5.37,7.66,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,61,4/04/2013,,Wedge Island,,-43.116667,147.666667,595,,31.95,5.82,7.7,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,75,4/04/2013,,Wedge Island,,-43.116667,147.666667,675,,33.01,5.7,7.97,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,71,4/04/2013,,Wedge Island,,-43.116667,147.666667,640,,30.72,5.69,7.52,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,62,4/04/2013,,Wedge Island,,-43.116667,147.666667,635,,31.84,5.2,7.68,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,16,4/04/2013,,Wedge Island,,-43.116667,147.666667,630,,33.28,5.96,8.21,,,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,55,1/12/2013,,Wedge Island,,-43.116667,147.666667,660,,31.39,7.23,9.05,41,272,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,48,1/12/2013,,Wedge Island,,-43.116667,147.666667,685,,32.69,7.3,9.44,43,265,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,7,1/12/2013,,Wedge Island,,-43.116667,147.666667,510,,32.21,7.26,8.03,41,281,,Mark Hindell
Ardenna tenuirostris,Short-tailed Shearwater,Unknown,Adult,MK3005,V608,74,1/12/2013,,Wedge Island,,-43.116667,147.666667,700,,32.79,7.38,8.82,41,260,,Mark Hindell
