pkid,sattag_program,device_id,ptt,body,device_wmo_ref,tag_type,common_name,species,release_lat,release_lon,release_site,state_country,release_date,recovery_date,age_class,sex,length,girth,estimated_mass,actual_mass,sample,comment,pi,institution,abstract,opendap_url,metadata
2,ct31,ct31-441_rec-07     ,922498,10441,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.062,137.48,Little Wiers,South Australia,6/3/08,18/4/08,adult,male,192,116,,,D - tissue; whisker (stable isotope),Recovered at Seal Slide _ Kangaroo Island,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-441_rec-07/,7e58537c-c29b-40e8-aba8-659cffcd809c
1,ct31,ct31-441-07         ,22498,10441,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.062,137.48,Little Wiers,South Australia,6/3/08,18/4/08,adult,male,192,116,,,D - tissue; whisker (stable isotope),Recovered at Seal Slide _ Kangaroo Island,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-441-07/,f8783e07-8770-4262-8b88-f3498b96a8d1
3,ct31,ct31-448A-07        ,43850,10448,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-34.955,136.031,Lewis Island,South Australia,25/3/08,29/3/08,adult,male,,,,,D - tissue; whisker (stable isotope),Recovered at Dangerous Reed after just a few days,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-448A-07/,7c3224f6-b84f-40e7-a60d-add78879dc8e
5,ct31,ct31-448B_rec-07    ,943850,10448,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.025,137.535,Kangaroo Island,South Australia,3/4/07,14/5/07,adult,male,,,,,D - tissue; whisker (stable isotope),,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-448B_rec-07/,4bc2f02c-c8a5-4735-a7f8-53af09f4f3f4
4,ct31,ct31-448B-07        ,43850,10448,           ,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.025,137.535,Kangaroo Island,South Australia,3/4/07,14/5/07,adult,male,,,,,D - tissue; whisker (stable isotope),,Simon Goldsworthy,SARDI,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2007_ct31_South_Australia/ct31-448B-07/,26b85f30-2b1c-4e21-a9dd-5f4974ef7ebd
21,ct36,ct36-A-09           ,77136,10737,Q9900180,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-A-09/,7a59cf1e-1ec7-46b1-bcfe-1812742c9e53
22,ct36,ct36-B-09           ,77137,10738,Q9900181,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-B-09/,c564e08f-6560-4009-9216-062315783d5c
23,ct36,ct36-C-09           ,77138,10739,Q9900182,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-C-09/,a03d0313-98bf-4abb-90a7-6ca167a0d45c
24,ct36,ct36-D-09           ,77139,10741,Q9900183       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-D-09/,c498564a-1022-4cf7-87a4-53e11d2c7693
25,ct36,ct36-E-09           ,77140,10742,Q9900184       ,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,Mark Hindell,IMAS,CTD Satellite Relay Data Loggers are used to explore how marine mammal behaviour relates to their oceanic environment. Loggers developped at the University of St Andrews Sea Mammal Research Unit transmit data in near real time via the Argo satellite system,http://opendap-vpac.arcs.org.au/thredds/catalog/IMOS/AATAMS/marine_mammal_ctd-tag/2009_ct36_Kerguelen/ct36-E-09/,15453866-7e9e-4faf-9365-2d7b0e7e5665
