ORIGINAL_VARNAME,VARNAME,STANDARD_NAME,LONG_NAME,UNITS,ANCILLARY_VARIABLES,VALID_MIN,VALID_MAX,REFERENCE_DATUM,POSITIVE
Total_Hs,WHTH,sea_surface_wave_significant_height,,m,,0,100,,
Total_Tp,WPPE,sea_surface_wave_period_at_variance_spectral_density_maximum,,s,,0,50,,
Total_Tm,WPTH,sea_surface_wave_mean_period,,s,,0,50,,
Total_Tp_Dirn,WPDI,sea_surface_wave_from_direction_at_variance_spectral_density_maximum,sea surface wave from direction at variance spectral density maximum,degree,WPPE,0,360,true north,clockwise
Total_Tm_Dirn,WPDTH,,sea surface wave from direction at sea surface wave mean period,degree,WPTH,0,360,true north,clockwise

Sea_Hs,WWSH,sea_surface_wind_wave_significant_height,,m,,0,100,,
Sea_Tp,WWPP,sea_surface_wind_wave_period_at_variance_spectral_density_maximum,,s,,0,50,,
Sea_Tm,WWPTH,sea_surface_wind_wave_mean_period,,s,,0,50,,
Sea_Tp_Dirn,WWPD,,sea surface wind wave from direction at variance spectral density maximum,degree,WWPP,0,360,true north,clockwise
Sea_Tm_Dirn,WWPDTH,,sea surface wind wave from direction at wind wave mean period,degree,WWPTH,0,360,true north,clockwise

Swell_Hs,SWSH,sea_surface_swell_wave_significant_height,,m,,0,100,,
Swell_Tp,SWPP,,sea surface swell wave period at variance spectral density maximum,s,,0,50,,
Swell_Tm,SWPTH,sea_surface_swell_wave_mean_period,,s,,0,50,,
Swell_Tp_Dirn,SWPD,,sea surface swell wave from direction at variance spectral density maximum,degree,SWPP,0,360,true north,clockwise
Swell_Tm_Dirn,SWPDTH,,sea surface swell wave from direction at sea surface swell wave mean period,degree,SWPTH,0,360,true north,clockwise

Hmax,WMXH,,sea surface wave maximum height,m,,0,100,,
T_Hmax,WPSE,sea_surface_wave_period_of_highest_wave,,s,,0,50,,
QA,WAVE_QC,,wave quality control,1,,,,,
