ORIGINAL_VARNAME,VARNAME,STANDARD_NAME,LONG_NAME,UNITS,COMMENT,ANCILLARY_VARIABLES,VALID_MIN,VALID_MAX,REFERENCE_DATUM,POSITIVE
Total_Hs,WSSH,,sea surface wave spectral significant height,m,Analysed by spectral method,,0,100,,
Total_Tp,WPPE,sea_surface_wave_period_at_variance_spectral_density_maximum,,s,Analysed by spectral method. Period of the peak of the energy spectrum,,0,50,,
Total_Tm,WPFM,sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment,,s,Analysed by spectral method. The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,,0,50,,
Total_Tmax,WPPE,sea_surface_wave_period_at_variance_spectral_density_maximum,,s,Analysed by spectral method,,0,50,,
Total_Ts,WPTH,sea_surface_wave_mean_period,,s,,,0,50,,
,,,,,,,,,
Sea_Hs,WWSSH,,sea surface wind wave significant height,m,Analysed by spectral method,,0,100,,
Sea_Tp,WWPP,sea_surface_wind_wave_period_at_variance_spectral_density_maximum,,s,Analysed by spectral method,,0,50,,
Sea_Tm,WWPFM,sea_surface_wind_wave_mean_period_from_variance_spectral_density_first_frequency_moment,,s,Analysed by spectral method. The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,,0,50,,
Sea_Dir,WWPD,,sea surface wind wave from direction at variance spectral density maximum,degree,Analysed by spectral method,,0,360,magnetic north,clockwise
,,,,,,,,,,
Swell_Hs,SWSSH,,sea surface swell wave significant height,m,Analysed by spectral method,,0,100,,
Swell_Tp,SWPP,,sea surface swell wave period at variance spectral density maximum,s,Analysed by spectral method,,0,50,,
Swell_Tm,SWPFM,sea_surface_swell_wave_mean_period_from_variance_spectral_density_first_frequency_moment,,s,Analysed by spectral method.The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,,0,50,,
Swell_Dir,SWPD,,sea surface swell wave from direction at variance spectral density maximum,degree,Analysed by spectral method,,0,360,magnetic north,clockwise
,,,,,,,,,
Temp,TEMP,sea_water_temperature,sea water temperature at sea surface,degrees celsius,,,0,40,buoy,
,,,,,,,,,
RMS_Hrms,WHRMS,,sea_surface_wave_root_mean_square_wave_height,m,Analysed by spectral method,,,,,
RMS_Tmax,WPPE_RMS,,sea_surface_wave_root_mean_square_wave_period_at_variance_spectral_density_maximum,s,Analysed by spectral method,,,,,
RMS_Tz,WPTH_RMS,,sea_surface_wave_root_mean_square_wave_period,s,Analysed by spectral method,,,,,
,,,,,,,,,,
10_H10,WH10,,sea_surface_wave_mean_wave_height_of_top_one_tenth,m,Analysed by spectral method,,,,,
10_Tmax,WPPE10,,sea_surface_wave_root_mean_square_wave_period_of_top_one_tenth_at_variance_spectral_density_maximum,s,Analysed by spectral method,,,,,
10_T10,WPTH10,,sea_surface_wave_root_mean_square_wave_period_of_top_one_tenth,s,Analysed by spectral method,,,,,
