site_name,wmo_id,owner,state,instrument,frequence,package_name,longitude,latitude,package_id
Albatross Bay,52121,Department of Environment and Science/North Queensland Bulk Ports Corporation Limited,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-albatross-bay,141.68,-12.68,a3eaca4a-ca15-48b3-b36c-d28028696db2
North Moreton Bay,55027,Department of Environment and Science/Port of Brisbane Corporation,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-north-moreton,153.27,-26.9,9a5b699a-58df-4ad2-b65f-81229427c25d
Cairns,55028,Department of Environment and Science,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-cairns,145.7,-16.73,a34ae7af-1561-443c-ad58-c19766d8354c
Townsville,55029,Department of Environment and Sciencet,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-townsville,147.05,-19.15,b00164a7-094e-4cf9-b0d4-176a7f24e9d2
Mooloolaba,55030,Department of Environment and Science/Department of Transport and Main Roads,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-mooloolaba,153.17,-26.55,aafb52d6-7bb8-4601-966b-5153bd35d4f8
Hay Point,55032,Department of Environment and Science/North Queensland Bulk Ports Corporation Limited,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-hay-point,149.3,-21.27,ab0f6a21-e625-46de-beeb-da890c9aa66c
Emu Park,55033,Department of Environment and Science,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-emu-park,,,2a7fd559-d189-4eb3-8636-23da25599c59
Gold Coast,55036,Department of Environment and Science/Gold Coast City Council,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-gold-coast,153.43,-27.95,d656d418-31b1-41fe-aae2-3d8a12588711
Tweed Heads,55037,Department of Environment and Science/Tweed River entrance sand bypass project,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-tweed-heads,153.57,-28.17,efc9b5dc-602e-49fc-ba66-45dfbaad9613
Gladstone,55038,Department of Environment and Science/Gladstone Ports Corporation,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-gladstone,151.5,-23.88,2aff8ba0-b261-4a91-a630-ec3dfd42c6d5
Caloundra,55045,Department of Environment and Science/Port of Brisbane Corporation,QLD,directional waverider buoy,30 minutes,coastal-data-system-waves-caloundra,153.15,-26.83,52689eca-688c-4043-8a8d-ff75e8022952
Bundaberg,55046, ,QLD,waverider buoy,30 minutes,coastal-data-system-waves-bundaberg,152.5,-24.66,b2282253-e761-4d75-89ff-8f77cf43d501
Brisbane,,,QLD,directional waverider buoy,,coastal-data-system-waves-brisbane,153.63,-27.49,0a54151e-5ef7-4257-85c7-84ba4662f03f
Mackay,,Department of Environment and Science,QLD,directional waverider buoy,,coastal-data-system-waves-mackay,,,6d6efc65-7b81-41dc-b180-d83b4b11c26f
