facility;subfacility;product;variable_name;parameter_id;unit_id;unit_info;qc_scheme_id
SOOP;SST;;AIRT;1;429;;4
SOOP;SST;;ATMP;10;511;;4
SOOP;SST;;CNDC;2;483;;4
SOOP;SST;;CNDC_2;2;483;;4
SOOP;SST;;CNDC_3;2;483;;4
SOOP;SST;;DEWT;3;429;;4
SOOP;SST;;GPS_HEIGHT;18;431;;4
SOOP;SST;;LATITUDE;4;440;Degrees North;4
SOOP;SST;;LONGITUDE;5;440;Degrees East;4
SOOP;SST;;PL_CRS;6;441;Clockwise from true north;4
SOOP;SST;;PL_SPD;7;433;;4
SOOP;SST;;PL_WDIR;16;441;Clockwise from true north;4
SOOP;SST;;PL_WSPD;17;433;;4
SOOP;SST;;PSAL;12;481;;4
SOOP;SST;;PSAL_2;12;481;;4
SOOP;SST;;PSAL_3;12;481;;4
SOOP;SST;;RAD_PAR;15;585;;4
SOOP;SST;;RELH;14;446;;4
SOOP;SST;;TEMP;13;429;;4
SOOP;SST;;TEMP_2;13;429;;4
SOOP;SST;;TEMP_3;13;429;;4
SOOP;SST;;TEMP_4;13;429;;4
SOOP;SST;;WDIR;8;441;Clockwise from true north;4
SOOP;SST;;WETT;11;429;;4
SOOP;SST;;WSPD;9;433;;4
SOOP;XBT;;DEPTH;19;431;;1
SOOP;XBT;;LATITUDE;4;440;Degrees North;1
SOOP;XBT;;LONGITUDE;5;440;Degrees East;1
SOOP;XBT;;TEMP;13;429;;1
SOOP;TMV;;LATITUDE;4;440;Degrees North;1
SOOP;TMV;;LONGITUDE;5;440;Degrees East;1
SOOP;TMV;;PSAL;12;481;;1
SOOP;TMV;;CNDC;2;483;;1
SOOP;TMV;;CPHL;21;502;;1
SOOP;TMV;;TURB;22;505;;1
SOOP;TMV;;TEMP;13;429;;1
SOOP;TMV;;TEMP_2;13;429;;1
SOOP;TMV;NRT;LATITUDE;4;440;Degrees North;
SOOP;TMV;NRT;LONGITUDE;5;440;Degrees East;
SOOP;TMV;NRT;PSAL;12;481;;
SOOP;TMV;NRT;TEMP;13;429;;
SOOP;TMV;NRT;TURB;22;505;;
SOOP;TMV;NRT;CPHL;21;502;;
SOOP;TRV;;depth;19;431;;1
SOOP;TRV;;LATITUDE;4;440;Degrees North;1
SOOP;TRV;;LONGITUDE;5;440;Degrees East;1
SOOP;TRV;;PSAL;12;481;;1
SOOP;TRV;;TURB;22;505;;1
SOOP;TRV;;Seawater_Intake_Temperature;13;429;;1
ANMN;;temperature gridded;DEPTH;19;431;;1
ANMN;;temperature gridded;LATITUDE;4;440;Degrees North;1
ANMN;;temperature gridded;LONGITUDE;5;440;Degrees East;1
ANMN;;temperature gridded;TEMP;13;429;;1
ANMN;;timeseries;DEPTH;19;431;;1
ANMN;;timeseries;LATITUDE;4;440;Degrees North;1
ANMN;;timeseries;LONGITUDE;5;440;Degrees East;1
ANMN;;timeseries;TEMP;13;429;;1
ANMN;;timeseries;CNDC;2;483;;1
ANMN;;timeseries;PSAL;12;481;;1
ANMN;;timeseries;PRES;23;445;;1
ANMN;;timeseries;PRES_REL;24;445;;1
ANMN;NRS;realtime wave;LATITUDE;4;440;Degrees North;1
ANMN;NRS;realtime wave;LONGITUDE;5;440;Degrees East;1
ANMN;NRS;realtime wave;VAVH;25;431;;1
AUV;;;DEPTH;19;431;;1
AUV;;;LATITUDE;4;440;Degrees North;1
AUV;;;LONGITUDE;5;440;Degrees East;1
AUV;;;CDOM;26;502;;1
AUV;;;CPHL;21;502;;1
AUV;;;PSAL;12;481;;1
AUV;;;TEMP;13;429;;1
SOOP;CO2;DM;LATITUDE;4;440;Degrees North;5
SOOP;CO2;DM;LONGITUDE;5;440;Degrees East;5
SOOP;CO2;DM;TEMP;13;429;;6
SOOP;CO2;DM;TEMP_2;27;429;;6
SOOP;CO2;DM;PSAL;12;481;;6
SOOP;CO2;DM;WSPD;9;433;;5
SOOP;CO2;DM;WDIR;8;441;Clockwise from true north;5
SOOP;CO2;DM;Press_Equil;28;506;;6
SOOP;CO2;DM;Press_ATM;29;506;;6
SOOP;CO2;DM;xCO2EQ_PPM;30;513;;6
SOOP;CO2;DM;xCO2ATM_PPM;31;513;;6
SOOP;CO2;DM;xCO2ATM_PPM_INTERPOLATED;31;513;;6
SOOP;CO2;DM;fCO2SW_UATM;32;512;;6
SOOP;CO2;DM;fCO2ATM_UATM_INTERPOLATED;33;512;;6
SOOP;CO2;DM;DfCO2;34;512;;6
SOOP;CO2;DM;LICORflow;35;558;;6
SOOP;CO2;DM;H2OFLOW;36;450;;6
SOOP;ASF;MT;LATITUDE;4;440;Degrees North;4
SOOP;ASF;MT;LONGITUDE;5;440;Degrees East;4
SOOP;ASF;MT;AIRT;1;429;;4
SOOP;ASF;MT;AIRT_2;1;429;;4
SOOP;ASF;MT;ATMP;10;511;;4
SOOP;ASF;MT;LW;37;442;;4
SOOP;ASF;MT;LW_2;37;442;;4
SOOP;ASF;MT;PL_SPD;7;433;;4
SOOP;ASF;MT;PL_CRS;6;441;Clockwise from true north;4
SOOP;ASF;MT;PL_HD;75;441;Clockwise from true north;4
SOOP;ASF;MT;PL_CMP;74;441;;4
SOOP;ASF;MT;PL_WDIR;16;441;Clockwise from true north;4
SOOP;ASF;MT;PL_WDIR_2;16;441;Clockwise from true north;4
SOOP;ASF;MT;PL_WSPD;17;433;;4
SOOP;ASF;MT;PL_WSPD_2;17;433;;4
SOOP;ASF;MT;RAD_PAR;15;585;;4
SOOP;ASF;MT;RAD_PAR_2;15;585;;4
SOOP;ASF;MT;RAD_PAR_3;15;585;;4
SOOP;ASF;MT;RAD_PAR_4;15;585;;4
SOOP;ASF;MT;RAD_UV;76;442;;4
SOOP;ASF;MT;RAIN_AMOUNT;38;507;;4
SOOP;ASF;MT;RAIN_AMOUNT_2;38;507;;4
SOOP;ASF;MT;RELH;14;446;;4
SOOP;ASF;MT;RELH_2;14;446;;4
SOOP;ASF;MT;RRATE;39;557;;4
SOOP;ASF;MT;SW;40;442;;4
SOOP;ASF;MT;SW_2;40;442;;4
SOOP;ASF;MT;TEMP;13;429;;4
SOOP;ASF;MT;VIS;41;;;4
SOOP;ASF;MT;WDIR;8;441;Clockwise from true north;4
SOOP;ASF;MT;WDIR_2;8;441;Clockwise from true north;4
SOOP;ASF;MT;WSPD;9;433;;4
SOOP;ASF;MT;WSPD_2;9;433;;4
NOAA;;drifters;LATITUDE;4;440;Degrees North;1
NOAA;;drifters;LONGITUDE;5;440;Degrees East;1
AATAMS;biologging;penguin;latitude;4;440;Degrees North;
AATAMS;biologging;penguin;longitude;5;440;Degrees East;
AATAMS;biologging;shearwater;latitude;4;440;Degrees North;
AATAMS;biologging;shearwater;longitude;5;440;Degrees East;
AATAMS;sattag;nrt;lat;4;440;Degrees North;
AATAMS;sattag;nrt;lon;5;440;Degrees East;
AATAMS;sattag;nrt;pressure;23;445;;
AATAMS;sattag;nrt;temperature;13;429;;
AATAMS;sattag;nrt;salinity;12;481;;
AATAMS;sattag;dm;lat;4;440;Degrees North;
AATAMS;sattag;dm;lon;5;440;Degrees East;
AATAMS;sattag;dm;temp_vals;13;429;;
AATAMS;sattag;dm;sal_vals;12;481;;
AATAMS;sattag;dm;sal_corrected_vals;12;481;;
AATAMS;sattag;dm;temp_dbar;23;445;;
AATAMS;sattag;dm;sal_dbar;23;445;;
SOOP;ASF;MFT;AIRT;1;429;;4
SOOP;ASF;MFT;AIRT1_5M;1;429;;4
SOOP;ASF;MFT;AIRT2_0M;1;429;;4
SOOP;ASF;MFT;ATMP;10;506;;4
SOOP;ASF;MFT;LATITUDE;4;440;Degrees North;4
SOOP;ASF;MFT;LONGITUDE;5;440;Degrees East;4
SOOP;ASF;MFT;LW;37;442;;4
SOOP;ASF;MFT;PL_SPD;7;433;;4
SOOP;ASF;MFT;PL_CRS;6;441;Clockwise from true north;4
SOOP;ASF;MFT;PL_CMP;74;441;;4
SOOP;ASF;MFT;RELH;14;446;;4
SOOP;ASF;MFT;RELH1_5M;14;446;;4
SOOP;ASF;MFT;RELH2_0M;14;446;;4
SOOP;ASF;MFT;SW;40;442;;4
SOOP;ASF;MFT;TAU;42;594;;4
SOOP;ASF;MFT;TEMP;13;429;;4
SOOP;ASF;MFT;WDIR;43;441;Clockwise from true north;4
SOOP;ASF;MFT;WSPD;9;433;;4
ANFOG;;;CDOM;26;564;;1
ANFOG;;;CNDC;2;483;;1
ANFOG;;;DEPTH;19;431;;1
ANFOG;;;LATITUDE;4;440;Degrees North;1
ANFOG;;;LONGITUDE;5;440;Degrees East;1
ANFOG;;;PRES;23;445;;1
ANFOG;;;PSAL;12;481;;1
ANFOG;;;TEMP;13;429;;1
ANFOG;;;UCUR;44;433;;1
ANFOG;;;UCUR_GPS;44;433;;1
ANFOG;;;VCUR;45;433;;1
ANFOG;;;VCUR_GPS;45;433;;1
ANMN;NRS;realtime meteo;LATITUDE;4;440;Degrees North;1
ANMN;NRS;realtime meteo;LONGITUDE;5;440;Degrees East;1
ANMN;NRS;realtime meteo;AIRT;1;429;;1
ANMN;NRS;realtime meteo;ATMS;46;506;;1
ANMN;NRS;realtime meteo;RAIN_AMOUNT;38;507;;1
ANMN;NRS;realtime meteo;RELH;14;446;;1
ANMN;NRS;realtime meteo;WDIRF_AVG;8;441;Clockwise from true north;1
ANMN;NRS;realtime meteo;WSPD_AVG;9;586;;1
ANMN;NRS;realtime meteo;WSPD_MIN;9;586;;1
ANMN;NRS;realtime meteo;WSPD_MAX;9;586;;1
Argo;;;PRES;23;445;;1
Argo;;;PRES_ADJUSTED;24;445;;1
Argo;;;TEMP;13;429;;1
Argo;;;TEMP_ADJUSTED;13;429;;1
Argo;;;PSAL;12;481;;1
Argo;;;PSAL_ADJUSTED;12;481;;1
Argo;;;LATITUDE;4;440;Degrees North;1
Argo;;;LONGITUDE;5;440;Degrees East;1
Argo;;;TEMP_DOXY;73;429;;1
Argo;;;TEMP_DOXY_ADJUSTED;73;429;;1
Argo;;;DOXY;56;487;;1
Argo;;;DOXY_ADJUSTED;56;487;;1
ANMN;NRS;realtime bio;LATITUDE;4;440;Degrees North;1
ANMN;NRS;realtime bio;LONGITUDE;5;440;Degrees East;1
ANMN;NRS;realtime bio;TEMP;13;429;;1
ANMN;NRS;realtime bio;PSAL;12;481;;1
ANMN;NRS;realtime bio;PRES_REL;24;445;;1
ANMN;NRS;realtime bio;TURB;22;505;;1
ANMN;NRS;realtime bio;CPHL;21;502;;1
ANMN;NRS;realtime bio;DOX1;47;587;;1
ANMN;NRS;realtime darwin yongala;LATITUDE;4;440;Degrees North;1
ANMN;NRS;realtime darwin yongala;LONGITUDE;5;440;Degrees East;1
ANMN;NRS;realtime darwin yongala;AIRT;1;429;;1
ANMN;NRS;realtime darwin yongala;ATMP;10;506;;1
ANMN;NRS;realtime darwin yongala;CDIR;49;441;;1
ANMN;NRS;realtime darwin yongala;CPHL;21;502;;1
ANMN;NRS;realtime darwin yongala;CSPD;50;433;;1
ANMN;NRS;realtime darwin yongala;DEPTH;19;431;;1
ANMN;NRS;realtime darwin yongala;DOX1;47;587;;1
ANMN;NRS;realtime darwin yongala;PRES;23;445;;1
ANMN;NRS;realtime darwin yongala;PRES_REL;24;445;;1
ANMN;NRS;realtime darwin yongala;PSAL;12;481;;1
ANMN;NRS;realtime darwin yongala;RAIN_AMOUNT;38;507;;1
ANMN;NRS;realtime darwin yongala;RAIN_INTENSITY_10min;39;508;;1
ANMN;NRS;realtime darwin yongala;RELH;14;446;;1
ANMN;NRS;realtime darwin yongala;TEMP;13;429;;1
ANMN;NRS;realtime darwin yongala;TURB;22;505;;1
ANMN;NRS;realtime darwin yongala;WSPD_10min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_30min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_avg_10min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_avg_30min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MAX_10min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MAX_30min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MAX_GUST_10min;48;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MAX_GUST_30min;48;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MIN_10min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MIN_30min;9;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MIN_GUST_10min;48;509;;1
ANMN;NRS;realtime darwin yongala;WSPD_MIN_GUST_30min;48;509;;1
ANMN;;MHL wave;LATITUDE;4;440;Degrees North;1
ANMN;;MHL wave;LONGITUDE;5;440;Degrees East;1
ANMN;;MHL wave;WHTE;53;431;;1
ANMN;;MHL wave;WMXH;54;431;;1
ANMN;;MHL wave;WMSH;51;431;;1
ANMN;;MHL wave;HRMS;52;431;;1
ANMN;;MHL wave;TCREST;55;432;;1
ANMN;;MHL wave;WHTH;25;431;;1
ANMN;;MHL wave;VAVT;134;432;;1
ANMN;;MHL wave;WPTH;135;432;;1
ANMN;;MHL wave;YRMS;136;431;;1
ANMN;;MHL wave;WPPE;137;432;;1
